
Logradouro;Bairro
Av Castelo Branco N 719 Qd 17 Lt 01;Setor Bueno
Rua Doutor Antonio Bento, 187;Vila Matias
Av. Jornalista Alves De Oliveira, 970;Cidade Alta
Av. Alvares Cabral, 374 Sl 1104 - Centro;Centro
R. Gonçalves De Andrade, 407 - Slj;Vila Perus
Rodovia Br 101, Km 382, S/N;Içara
Rua Miranda Reis, 634;Poção
Cond. R. Dos Passaros,481 Av. A. L. De Amorim 1369;Benedito Bentes
Av. Deputado Dante Delmanto, 2458;Vila Paulista
Rua Francisco Guedes Maia, 11 - Casa;Jubaia
Rua Rio Jutaí, 34, Qd 36;Nossa Senhora das Graças
Rua: Benedito De Camargo, Nº360, Apt.203;Jardim Leblon II
Rua Francisca, 229;Santa Teresinha
Rua José Lourenço Kelmer N° 1.300 Lj. 117;São Pedro
Rua Marcos Macedo, 1333 Salas 601 A 608-Cond. Pátio D. Luis;Aldeota
Rua Oswaldo Cruz, 2040;Aldeota
Rua Marcos Macedo, 1333 Sala 609;Aldeota
Rua Da Aurora , N° 325 , Sala 1011 , Cxpst 008;Boa Vista
Avenida Paulo Schroeder, 1481;Itinga
Av. Inocencio Pires De Oliveira, 121 - Sala 10;Centro (Caucaia do Alto)
Avenida Fernando Simões Barbosa N ° 266 , Sala 809 E 810;Boa Viagem
Av.Nossa Senhora De Fátima 2060;Ininga
Rua Luiz Gomes N ° 19 Sala 01;Goiana
Rua Cristiano Viana 279-Cj 134;Cerqueira César
"Rua ;Zeferino Da Costa,150";Ideal
Rua Lizete Vanderley, 2439 - Ancuri;Itaitinga
Rua Dr. Lilito, 150;Francisco Bernardino
Alameda Madeira, 44 - 3º Piso - Conj 35 - Sala A;Alphaville Industrial
Avenida Jove Soares;Graças
Srtv/Norte, Quadra 701, Conj. C Nº 124  Salas 601/603 Ala B;Asa Norte
Av. São Paulo, 817;Centro
Av. Visconde De Guarapuava, 5356;Batel
R A - Loteamento Silva 869;Arroio do Meio
Av João Pessoa, 267 - Sl 308;Cidade Alta
Rua Francisco Remígio, 329 - Centro;Limoeiro do Norte
Rua:Doutor Irany Ferreira Esq C/Maria P. De Oliveira Qd:36 Lt:13 Sala:01 Centro;Trindade
Rua Gil Martins De Oliveira, 315 ;Santa Lúcia
Valão De São Pedro - Zona Rural;Santa Teresa
Rua Pireneus Nº 45 Qd 112 Lt 04 Centro;Pirenópolis
Rua S-3 N°27 Qd.15 Lt.24;Setor Bela Vista
Rua Machado Bittencourt, 204 - Cj. 45;Vila Clementino
Estrada Geral Morretes, 1000 - Morretes;Tijucas
Av. Ary Ribeiro Valadão Filho N° 32 Paraisinho;Alto Paraíso de Goiás
Av. Dom Pedro Ii S/N Qd.41, Lt 08;Edéia
Rua Margem Do Lago, Km 03 Sala 02;Três Ranchos
Rua Presidente João Pessoa 95 Bloco 1 Apto 505;Icaraí
Rua Pascoa Zanetti Trevisan, 133 ;Vinhedo
Rua Da Amoreira, 748;Praia de Itapoã
Rua Dom Emanuel Nº 321;Vila Santa Maria
Segunda Avenida ,373;Cobilândia
Rua Do Fio, Nº 026;Mangueirão
Av Juracy Magalhães Jr, 300 Sl 402 Ed. Wa Empresarial;Rio Vermelho
Q 35 Sn Lt 12 Parque Estrela Dalva Xi;Santo Antônio do Descoberto
R Das Acacias N 295 Qd 03 Lt 05/06 Resid.Dos Ipes;Residencial dos Ipês
Rua Varzea De Santo Antonio, 491 - Quadra D - Lot ;Caminho das Árvores
Av Angelica, N°: 2491 - 20° Andar/Conj 203 E 204;Santa Cecília
Av Rio Branco, 404 Torre Ii Sala 708;Centro
Rua José Paulino 500;Fátima
Av. Professor Mario Werneck, 1270 - Loja 15;Estoril
Alamenda Santos, 2441 - 8° Andar;Cerqueira César
Alameda Lorena, N°: 427 - Cj 44/45;Jardim Paulista
Av Central, 440,  Ed Fernando 2º Pav  Sl 25 Res Laranjeiras;Laranjeiras
R Castro N 766 ;Setor Central
Av. João Mauricio, 1675, Sala 201;Manaíra
Av. Padre Cícero, 2555 - Loja 35;Triângulo
Av Cristovão Colombo,  1724  /502;Floresta
Rua Jose Pedra Nº972;Passaré
Rua Teófilo Otoni, 473;Cajuru
R. Coronel Zozimo, 367;Coronel Antonino
Av. Vicente Machado, 343 - Casa 06;Centro
Rua Vila Lobos, 521;Nova Lima
Rod Go 560, Km 7, À Direita 3M;Jundiaí
Rua Couto Magalhães, Nº 311 - Apt 101;Benfica
Avenisa Santa Catarina;Camboriú
Avenida Do Líbano N° 575 Qd 47 Lt 02;Santo Antônio
Rua Cancioneiro De Évora, 294;Santo Amaro
Av. Otávio Mangabeira, 1683, Edf. Multiempresarial Nossa Senhora Da Luz ;Pituba
Rua Heriberto Rezende Gois, 1308;Coroa do Meio
Rua Ajuricaba, 644 -Centro ;Centro
Rua Congonhas, 558;Santo Antônio
Rua Francisco Leitão, 416;Pinheiros
Rua Conselheiro Saraiva, 28 Andar 6  Parte;Centro
Alameda Favero N49;Parque Alexandre
Rua Alziro Zarur, 50;Manuel Sátiro
Rodovia Macapá/Mazagão, S/N- Distrito Industrial;Santana
Alameda Grajau, 129 - Sala 1305 - 13° Andar - Edifício Murano Business Office;Alphaville Industrial
Governador Adolfo Konder 659 Sala 1;Campinas
Rua Norvinda Pires, 52;Aldeota
Qsd Lote Para Comércio 08 Sala 214 ;Taguatinga Sul
Passagem São Cristovão, Nº60 -A;Guamá
Avenida Queiroz Filho, 1700 - Bloco E, Sala 314;Vila Hamburguesa
Av. Jose Ariano Rodrigues 1261;Jardim Ariano
Av.Olof Palme, Nº 765, Bloco 1 ,  Sala 416;Camorim
Avenida Nossa Senhora De Copacabana, Nº 788 Sala C 01;Copacabana
Rua Átila Nunes, 626;Piratininga
R Dona Cristina, 185 B;Alto São João
Rua Uruguai 233 Blo D Apt 1201;Centro
Rua Fernandes Tourinho, 470 - Sala 503;Funcionários
Rua Melo Povoas, 207;Jaraguá
Rua José Alexandre Buaiz, Nº190 Ls 403;Enseada do Suá
Av Evandro Lins E Silva 840 Sala 1612 ;BARRA DA TIJUCA
Rua Projetada, Nº 73;Forquilha
Av Senador Virgílio Távora, 1701 - Sala 1108;Dionisio Torres
Av. Pau Brasil Lote 06  Sala 2006;Norte (Águas Claras)
R. Itapura, 300 - Sala 404;Vila Gomes Cardim
R. Do Reno, 267;Vila Moinho Velho
Rua Jamile Dibo, 32;Carandá Bosque
Rua Rodrigo Silva 26, 22 Andar, Sala 2201, Parte;Centro
Estrada União E Industria 12360;Itaipava
Rua Barao De Sao Borja ,  62 Sala 204 2º Andar Edf. Sigma Center;Soledade
Rua Lindolfo Baiano, 155;Lagoa Formosa
Av. Ville Roy, 1865;Caçari
Rua Ailton Quirino , N°130;ALTO DA BOA VISTA
Av. Álvares Cabral, 982 - Cj. 501;Lourdes
Duque De Caxias 487;Marco
Rua Alfredo Mario Pizzoti, 94 - Slj Sala 05;Vila Guilherme
R Laboriosa,79;Vila Madalena
R Everaldo Marques Da Silva 40;Partenon
Rua Desembargador Isidro 28 Sala 704 Tijuca;Tijuca
Av. Nossa Senhora Da Penha, 699 S805 B;Praia do Canto
Rua Petronio Figueiredo, 146;Centro
Av Assis Brasil 418 Cj 306;Passo D'Areia
R Haddock Lobo    334;Tijuca
Pç. Jarbas De Lery Santos, 37 - Aptº104;São Mateus
Rua Crispim Mira, 124, Sala 13;Centro
Rua São Mateus 644 - Loja 15;São Mateus
Rua Manoel Ferraz, Nº 285;Vila Humaitá
Rua Jose Alexandre Buaiz Nº190/404;Enseada do Suá
R  Saldanha Da Gama,   827   S/1002;Centro
Rua Guaicui, 660 Lj 1B;Luxemburgo
Av. Graça Aranha N°19 Sl.1103;Centro
Rua Odorico De Andrade Nº 381 - Alto Brilhante;Tauá
Rua Schilling, 494 Apto 124;Vila Leopoldina
Av. Leal Lima Verde, 83 Andar 2;Edson Queiroz
Avenida Monteiro Lobato, 662, Loja 7;Cidade Nobre
Rua Nereu Ramos, 815 - Sala 102 B - 1º Andar - Centro;Imbituba
Rua Maragogipe, 89/Sl 05;Rio Vermelho
Av. Rui Barbosa - 896 - 1º And Loja 102;Graças
Rua Elpidio Batista Neri, 282A;São Cristóvão
Avenida Manoel Ribas, 397 - Centro;União da Vitória
Rua Frecheirinha, 105;Parquelândia
R. Pedro José Moreira Nº 38;São Lucas
Rua Antonio Bianconi, 111;Centro
Praça Dr. Nelson Gonçalves Cardoso, 534;Ribeira do Pombal
Rua Manoel Loureiro, 180, Apt 407;Barreiros
Rua Pantaleão Bras, 450 - Apt 43;Jardim Ester
Est. Kazuichi Kamimura, 190;Ibiúna
Av. Joquei Clube, 1289;Jóquei
Rua Marechal Deodoro, 2115  Loja 12;Centro
Av. Doutor Pereira Vergueiro, 435;Vila Nhocune
Rua Dr. João Pondé, 500;Barra
Rua Dr Sodre, N°: 94;Vila Nova Conceição
Rua Primeiro De Janeiro, 1480.;Recreio
Av. Pavão, 955 - Cj. 84;Indianópolis
Av Treze De Maio, 23 Salas 1935 A 1937 Parte;Centro
Rua Doutor Alvaro Camargos, 2420;Santa Mônica
Rua Doutor Pedro Ferreira, 155, Sl 1400 A;Centro
R. Candido Jose Silva, 436;São Bento do Sapucaí
Av. Francisca Moura, 353 Sala 03;Centro
St D Sul S/N Lote 07 Sala 201 ;Taguatinga Sul
Av. Desembargador Moreira, 1701 Salas 503 E 504;Aldeota
Rua 118 N 302 ;Setor Sul
Rua Santana, 178 Slj 201;Centro
Rua Jayme Vieira Lima N° 83;Pau da Lima
Area Especial 02 A Conjunto F Lote 04;Guará II
Q Srts Qd. 701 Conj. L Bloco 02 Sala  14/15/16  Ed. Chateaubriand;Asa Sul
Rua Senador Villas Boas, Nº 162;Bosque
Tv. João Batista Magalhães,8;Virginópolis
501 Sul ( Acsu So 50) Conj. 01 Lote 22 2º Andar;Plano Diretor Sul
Rua Antonio Correa, 561;Jardim Monte Líbano
Rod Br Mg 10 - Km 1;Rio Vermelho
R. Leonor Maria Barbosa, Cond. Village 11,Qd F,  Portão;Lauro de Freitas
Av Das Americas, 700 - Bloco 03 Sala325 E 326;BARRA DA TIJUCA
Rua Grã Nicco, 113 - Bloco 4 - 4º Andar    ;Mossunguê
Rua Paulo Afonso 502;Santo Antônio
Av. Dr. Arlindo Joaquim De Lemos, 1043;Vila Lemos
Rua Dr Mello Nogueira, 105 - Sala 727;Vila Baruel
Rua São Romão, 398 - Loja 01;São Pedro
Av. Ana Jansem 1005;São Francisco
Passagem Vera Cruz, 03;Marituba
R Monte Cassino Sn Qd 21 Lt 04;Jardim Planalto
Rua Desembargador Westphalen, 1818;Rebouças
Rua José Napoleão, N 285, Apt 201;Meireles
Rua Mendes Junior, Nº 208 - Centro;Santa Luzia
Av. Jeronimo Rosado, 264 - Sala A;Baraúna
Rua Saldanha Da Gama, 396;Farol
Praia De Botafogo 422/1104;Botafogo
Rua Euzébio Da Motta, 961 Ap 44;Alto da Glória
Av. 22 De Abril, 234 Galeria V. Mar Sl 04- Centro;Porto Seguro
Av Brigadeiro Faria Lima, Andar 14, Cj 146;Jardim Paulistano
Rua Silveira Lobo Nº32;Poço da Panela
Rua Para, 41;Virgem da Lapa
Rua Radialista Carlos Alberto Campos, 205;Trindade
Rua Bom Retiro, 1098;Chácara das Mansões
Rua Francisca Mendes, Nº2580 - Cidade De Deus - Cidade Nova;Cidade Nova
Praça Francisco Escobar, 22;Centro
Rua Coronel Airton Plaisant, 329;Santa Quitéria
Ce 065 Km 10 , 10000;Jaçanaú
Rua Edilson Alexandre Saldanha Raffo, 195;Pilarzinho
Rua Silvéria Cândida Pinto, 15 - Conj. 05 - ;Luxemburgo
R Carlos Trein Filho, 580;Auxiliadora
Avenida Nordestina, 4373 - Sala 04;Vila Nova Curuçá
St Safs Qd. (Setor De Administrativo Federal Sul) S/N Setor/Sul Qd. 02 B Sala 106 Parte;Zona Cívico-Administrativa
Travessa Maria Da Conceição N. 141;Centro
Av. Universitária 358 - Sala 03;Ininga
Rua Do Sossego,298 Cxpst 52;Boa Vista
Rua Osorio De Almeida Taques, 6;Estrela
Rua Antonio Alves Da Silveira, 725;Nossa Senhora da Conceição
Rua Quinze De Agosto, Nº  3;Ponta Grossa (Icoaraci)
Av. Cosme Ferreira, 3468;Aleixo
Travessa José Bonifácio, 29 ;Todos os Santos
Av Treze De Maio, 13 Conj 806 8Al 14 E 15;Centro
R 22 N 69 Qd E10 Lt 62E Galeria Patio 22 Sl 17;Setor Oeste
Av Itaqui,  99   S/301;Petrópolis
Alameda Araçari, 82;Conjunto A
Avenida Ipanema 834 Qd 3 Lt 5/6 Sala 07;Jardim Atlântico
Rua Doutor Pedro Wilson, Nº 580;ITAPERI
Rua Tabeliao Alfredo Almeida;João Neiva
Rua Ministro Viveiros De Castro, Nº 62 , Apt  604;Copacabana
Rua Do Bonfim N° 320;Carmo
Avenida Tiradentes, 1072;Vila Taveirópolis
Rua Nair Soares Nº 600;Ipiranga
Rua João Ramalho, 1046 - 2;Perdizes
Rua Gonçalves Dias, 142  Sala 503;Funcionários
Rua Jose Utsch Ribeiro, Nº 289;Conceição do Mato Dentro
Rua Padre José Dias, 1303 Lj:02;São José da Lapa
Rua Rumaica, 203;Vila Ipojuca
Rua Sylvio Da Rocha Pollis, 300 - Casa 80;BARRA DA TIJUCA
R 147, N 326, Qd 64, Lt 34;Setor Marista
Av.Vereador José Diniz 3135-8 Andar;Santo Amaro
Rua Jacob Barbariolli S/N;Ibiraçu
Rua Marlene, 506;Monte Carlo
Avenida Alvares Cabral 381 Sala 2106;Centro
Est Municipal Ribeirao Preto R.P.R, 259 - Faz. Retiro Do Ipe;Centro
Q Scrn 702/703 Bloco A Entrada 13 Sl. J;Asa Norte
Rua Projetada S/N - Quadra 32;Nova Rosa da Penha I
Rua Hemeterio Leitão, N 13 Apt 401 Pav 4;São Francisco
Rua Domigos Joanny D'Ávial 166 A;Lima Duarte
Av. B Chacaras 62 E 63 ;Sítios de Recreio Americano do Brasil
Rod Go 309 Km 24 A Esquerda;Pires do Rio
Rua A-8 S/N Qd 6 Lt 4;Vila Novo Horizonte
Av Mutirao 1932 Galeria Casablanca Center Sala 5C;Setor Bueno
Rua Almirante Barroso, 35 Casa C;Gameleira
Rua Zacarias De Almeida, 36 Galpão;Porto Novo
Av. Fortaleza, 772;Jardim das Laranjeiras
R:João Cardoso De Moura S/N Qd:E Lote:06 Vila Campos;Santo Antônio de Goiás
Rua Raimundo Correa, 211;São Pedro
Rua Jurucê, Nº 1733, Centro;Jaciara
Av  Brino, 62;Santa Maria Goretti
Q Qn 7 F Conjunto 03 Casa 14;Riacho Fundo II
Av Universitária 358 Sala 04;Ininga
Rua Aécio Murta, 303 Santo Antonio;Itaobim
Travessa José Pio, 14.;Umarizal
C2 Lt 12 Ed. Ttc Sala 901;Taguatinga Centro
Rua Maestro Cardim, 560 - Cjto 205;Liberdade
Rua Porto Das Flores,664;Santa Luzia
Rua 01 Chacara 96 Lote 05 A -1 -Parte A - Setor Habitacional Samambaia (Taguatinga);Taguatinga Centro
Rua Comerciário José Pontes Magalhâes, 211 - Sala 12;Jatiúca
Rua São Luis, 280;Centro
Rua Picos, 3094/Sul;Piçarra
Praia Do Flamengo, 66 Bloco B Sala 1405;Flamengo
Rua Francisco Batista Da Silva, 690;PARQUE SANTA ROSA
Rua Doutor Fernando Costa, 568;Vila Emílio
Av Assis Chateaubriand 1805 ;Setor Oeste
Rua Dr. Cardoso De Melo, 1855 - Cj 61;Vila Olímpia
Pça Luiz Nogueira, 99/3ª Andar;Serrinha
Rod. Do Contorno, Br 101, Km 01 - Carapina Centro De Eventos;Bela Vista
Rua Cosmonautas, 400;Bonsucesso
Rua Almir Pedreira, 486;Petrópolis
Av. Esmeralda, 349 Santa Isabel;Centro
Rua Fleurice Muniz Aragão, Nº 245, Centro;Varjota
Av. Getulio Vargas 288;Campos Elíseos
Avenida Costa E Silva - Bloco Do Restaurante - Ufms;Vila Progresso
Rua Ajuricaba, 318 Sala 1;Centro
R Perimetral N 809 Qd 06 Lt 13;Residencial Sonho Verde
Rua Maria Glória Chaves Lima Verde, Nº 1485;Renato Parente
Rua Belarmino Freire;Campo Grande
Rua Hermógenes Coelho N22 Centro;Goiás
Rua Antomar De Brito Freitas, 3679 - B;Candelária
Av. Julio De Castilhos, 352 Sala/208;Centro
Rua Maria Alves Q De Lavor N° 187  - Cohab Ii;Iguatu
Rua Oswaldo Cruz, Nº 76 , Sala 106;Centro
St Cln 113 Bloco B Sala 102 ;Asa Norte
Rua Clemente De Freitas, 2328 Sala 03 - Centro;Capistrano
Av. Juvenal João Vinagre, 2970;Vera Cruz
Sia Sul Trecho 02 Lotes 1545 A 1595 Sala 202 Parte A Ed. Pinheiro;Zona Industrial
Travessa Rafael Francisco Greca,50  9ºandar  Cj.95;Água Verde
R Barao Do Triunfo 448 Sala 403;Menino Deus
Rua Dos Mundurucus, N° 2268;Batista Campos
Av Dos Holandeses, Nº 1, 7º Andar, Salão Comercial 03, Ed. Biadene Office;Calhau
Rua São Benedito N. 662;Bom Jesus
Avenida Francisco Glicério 2301-Cj 72;Centro
Rodovia Br 470, 3890;Lontras
Otr Q 3 Cj A Lt 32 S/N;Paranoá
Avenida Sete De Setembro, 435;Cristo Rei
Rod. Jose Carlos Daux, 4150, Sl 1 E 2;Saco Grande
R Vinte E Tres De Maio, 108;Centro
Av. Professor Manuel De Abreu, N 851/ Apto 803;Maracanã
Rua Eladio Ramos, 99;Boa Viagem
Rua Araxá, 505;Ideal
"Rua Rita Helena Pontes Guerra, S/N Quadra 2 - Lote 3";Icaraí
St Autarquias Sul Nº30 Quadra 04 Bl. A Sl. 701;Asa Sul
Rua Alamyr Nelson Bustamante , 5154;Jacupemba (Jacupemba)
Rua São Pantaleão Nº 1.169;Centro
Rua Florida, 742;Cidade Monções
Estrada Benvindo De Novaes, 1825 Sala 203;Recreio dos Bandeirantes
Rodovia Df 205 Km 48/49;Setor Residencial Mestre D'Armas
Rua Adorino Ferreira 110;Califórnia
Avenida Guaçuí, 2141;Shell
Shcg Norte Cr Qd. 716 Bloco E Loja 36 ;Asa Sul
Rua Dr  Paulo Cesar 25  Apt 905;Santa Rosa
Rua Bela Cintra, 1149;Consolação
Rua Angelo Pedro, 2925;São José
Av. Gilberto Amado 800/Sl 204;BARRA DA TIJUCA
Rua José De Assis, 31;Camargos
Av. Doutor Francisco Loup, 1555;São Sebastião
Estrada De Jacarepagua, N 7187 - Frc - Sl 219;Freguesia (Jacarepaguá)
Rua Antonio Reis, 71;Conselheiro Lafaiete
Av. 85 Nº186 Qd F 17 Lt 24 Gal 85 Center Sala 12;Setor Sul
Rua Manoel Caetano, 338;Paracatu
Rua Farrapos, 22, Sl 03;Xaxim
Avenida Inglaterra, 1020;Centro
Sia Trecho 3, Lotes 625/695, Bloco A, Sala 306;Zona Industrial
Rua Tristão De Oliveira 754 Sala 02;Gramado
Avenida Jurua, 641 - Torre A Subsl;Alphaville Industrial
Q Qd. 03  Conj. C Lote 12 Mznino;Setor de Indústrias Bernardo Sayão
Rua Norte, 4348 Sala 01;Equatorial
R. Agnelo Brito, 259 -Sl 101 -  Ondina Empresarial;Federação
Rua São Bento ,67;Major Lage de Baixo
Rodovia Do Sol Km 25 Hotel Priscila;Ponta da Fruta
Av. Getúlio Vargas 602;Alfredo Chaves
Rua Bom Jesus De Pirapora, 1626;Jardim Petrópolis
Rua Cel. Teofilo 352, Lj 18;Centro
Rua Congonhas,571;Santo Antônio
Rua Aureliano Garcia De Oliveira,229 -Sala 15 - Edificio Canela;Nova Ribeirânia
Rua Fulvio Morganti, N°: 64;Chácara do Encosto
Hermes Zapelini 590;Barreiros
Rua Horacio Spadare, 273, Bairro Vila Jotão, Cep 76908305;Centro
Rua Carlos Drumont Deandrade, 166/Lj 118 Shopping Do Farol;Itapuã
Av. Jabaquara, 2002 - Cj 31 E 32;Mirandópolis
Rua Juiz Moacir Sobral, 453;Atalaia
Srtvn Qd. 701 Conj. C Nº 124 Sala 704 Ala A Parte B Centro Emp. Norte;Asa Norte
Avenida Zaki Narchi, 500 - Primeiro Piso - Terceira Torre;Carandiru
Av. Cel Virgilio Tavora, 267 - Loja 09;CENTRO
Rua Sobral, 892;Tabapuá Brasília
Rua Manoel Oliveira Freitas, S/N - Centro;Itapiúna
Rua Doutor Rui Pereira, 115;Jardim Oceania
Av.Prefeito Jonas Banks Leite Nº776 - Sala 01 ;Registro
Av. Luiz De Camões, 264 Ed. Raquel Bairro Coral Apto 702 Bl. A;Coral
"Rua Sebastião Moreira, 110 - Sala 02;";Parque Palmeiras
Rua Professor Marcos Cadoso Filho, 707;Santa Mônica
Rua Bela Vista, 363 Centro;Itamaraju
St Seps Eq 705/905 Conj. B Sala 320 ;Asa Sul
Rua Cristina 292/12;Sion
Rua Joaquim Afonso De Souza, 1533;Vila Celeste
Av Almirante Marques De Leão, 13/Sl 102 Centro Emp. Barra;Barra
Av Das Nações Unidas, N°: 6783;Jardim Universidade Pinheiros
Rua Raimundo Leão De Moura,200;Nova Betânia
Rua Monsenhor Bruno, 640;Meireles
Rua Arlindo Nando, 236 - Centro;Palmares
Rua Barbara De Alencar, 59 - Sala A;Piquet Carneiro
Loteamento Karina, 33;Paripueira
Av. Gonçalo Prado Rolemberg Sala 01 Andar 01;São José
Srtvs Quadra 701 Conjunto E Bloco 01 Nº 12 Sala 209 Parte M2;Asa Sul
Rua Cambé, 42;Centro
Rua Bernal Do Couto, Nº 366 Altos  Slj;Umarizal
Rua Arariboia, 38 - Sala 02;Rio Branco
Rua Espírito Santo, 2720 Lj 05;Lourdes
St Shc/Sw Clsw102 Bloco B Loja 69 Subsolo;Setor Sudoeste
Rua Levindo Ignacio Ribeiro 49;Santa Amélia
Rua Tapinás 22 Cj 72;Itaim Bibi
Avenida Brigadeiro Lima E Silva, 1939, Sala 208;Jardim Vinte e Cinco de Agosto
Av. Elias Bufaiçal - Gleba 1 - Anexo Sala 11 Jardim Belvedere;Caldas Novas
Rua Almirante Tamandaré,320 Sala 01;São Miguel do Oeste
Av. Getúlio Vargas , 15. Açai.;Salinópolis
Rua Dos Ilhéus, 20;Centro
Rua Fortaleza, 137 - Centro;Joaíma
Rua Sao Cristovao, 926;Centro
Rua Olavo Bilac, 41 - Fundos;Boa Vista
Rua Dos Canários, 251, Parque Alpina;Domingos Martins
Rua Barão Do Rio Branco, Nº 1071, Sala 403;Centro
Rua Pestalozzi, 121;Vila Manoel da Costa Lima
Rua Idalino Joo De Oliveira, 155;São Vicente
Alameda Barros, 383;Santa Cecília
Av. Professor Acrísio Cruz, 114 Sala 04 Térreo;Salgado Filho
Av Barão De Japura Lote 1 Quadra D;Chácaras Rio-Petrópolis
Rua Do Rouxinol, 156;Imbuí
Rua Major Manoel Correa, 498 Loja 02 ;São Francisco
Av Kennedy, N° 1532;Fátima
Avenida Embaixador Abelardo Bueno 2001 , Lt 01, Pal 44910;BARRA DA TIJUCA
Rua Willy Schroeder;Lontras
Rua Santa Catarina Nr 209;Jardim Guanabara
Q Scn Quadra 1 Bloco C Ed. Brasilia Trade Center 1109;Asa Norte
Av. João Davino, 1173                ;Mangabeiras
R C24 N.221 Qd.22 Lt.16 Cs.02;Jardim América
Rua Professor Nelson Ribeiro, 132;Umarizal
Rua Rodrigo Silva, N° 26 - 22º Andar Sala 2201 - Parte;Centro
Rua Alvarenga Peixoto, 1408, Sala 1103;Santo Agostinho
Rua Ipameri Qd.34 Lt.12 Parque Calixtopolis;Parque Calixtópolis
Av. Francisco Amancio, Nº 1539 Sala 03;Santa Isabel do Pará
Rua Alberto Ferreira, Nº 789;Edgar Pereira
Rua Do Matadouro, 554  Apt B;Espinosa
Rua Pereira Filgueiras, 670;Centro
Rua Aristides Lobo 116;Rio Comprido
Rua Princesa Elizebeth, 166;Parque Pedro II
Rua Conde De Bonfim 782 Apt 7;Tijuca
Av Almirante Barroso 63 Sala 1403 1404;Centro
R  Augusto Ewerton E Silva;São João
Av. Comendador Franco, 5325;Uberaba
Rua Prefeito Chagas, 305 - Sala 308;Centro
Scs Quadra 08 N50 Bl B Salas 509, 511 E 513 - Parte B;Asa Sul
Rua Agenor Paes,  149;Centro
Rua Barão Do Triunfo, 88 - Cj 1.303;Brooklin Paulista
R Frei De Monte Carmelo, 1000;Jardim Proença
R Sarmento Leite, 843;Medianeira
Rua João Pio Duarte Silva, 404, Ap 205;Córrego Grande
Rua São Paulo, 815;Centro
Rua Rio Mamore, 1083;Camboriú
Q Scn Qd. 01 Bloco C Sala 1108;Asa Norte
Rua E 1 Nº 130 Qd. 09 Lt. 12 Fundos Sala 01 Vila Lucy;Vila Lucy
Av. Santos Dumont 478 Sala B Anexo Jatobá;Atalaia
Rua Adolfo Caminha, 340 Sala 02;Aracati
Av. Santos Dumont, 3131-A Salas 1313/14/15;Aldeota
Rua Colombo, 1365 Centro;Marechal Cândido Rondon
Qd. Shc/Sw Qmsw 04 Lote 09 Sala 221 2º Pavimento;Setor Sudoeste
Rua Bem-Te-Vi, Nº 53;Lagoa da Conceição
Av. Afonso Pena, 592 Sl:03;Rio Acima
Avenida Do Macuco, 726 - 2º Andar;Indianópolis
Rua Maria Osoria Nogueira, 162;Cidade Salvador
Q Cln 113 Bloco B Sala 102 Parte A ;Asa Norte
Rua Joaquim Alves Da Silva , N° 282;Jupi
Av C-264 N 49 Qd 598 Lt 10 Sala 01;Setor Nova Suiça
Qd. Qs 16 Conj. 02 Lote 30 ;Riacho Fundo
Qd. 1112 Sul Alameda 09 Lote 1/3;Plano Diretor Sul
Rua Agripio Teodoro Soares, 227 - Centro;Reriutaba
Av. Evandro Lins E Silva, 840 Sala 606;BARRA DA TIJUCA
Av.Calogeras, 1624;Centro
Av. Ismael Gonçalves De Souza,Nº1338,Zona Oeste;Ribeira do Pombal
Avenida Afonso Pena, 106;Amambaí
Alto Do Guinda, S/N, Zona Rural;Diamantina
Rua Grecia, S/N, Qd. 82, Lt. 10;Santa Rosa
Rua Mil E Tres;Formosa
Rua Silveira Lobo,32;Poço da Panela
Rua Chile, 05/Lj 07 - Ed. Antonio Ferreira;Centro
Conj. Assis Chateaubriand, R E-3, 189;Bugio
Rua Rodrigo Silva, N° 26 - 22° Andar Sl 2201, Parte;Centro
Avenida Alfredo Balthazar Silveira, 520, Lj 222 A 226 B;Recreio dos Bandeirantes
R 88 S/N Qd F 32 Lt 19/30 ;Setor Sul
Rua Bandeira Paulista, 716 - Conjuntos 91 E 92 - Sala A - Edifício Work Home Itaim;Itaim Bibi
Av. Santos Dumont, 1267 - Sala 408;Centro
Rua Bela Cintra, 967 - Cj 112 B;CONSOLAÇÃO
Rua Do Sete Setembro, 780 Casa;Maracanã
Rua Candido Pereira Dos Anjos, 52, Casa 08;São João do Rio Vermelho
Av. Carlos Lins Cortes, 2464-C;Infraero II
"Alameda Jau, 1177 - 3°Andar; Parte Da Frente";Jardim Paulista
Al. Jau, 1177 - 3°Andar Parte Da Frente;Jardim Paulista
Av Presidente Franklin Roosevelt 1264 Sala 37;Navegantes
Rua Bernardino De Campos, N°766 ;Centro
Rua Teatrólogo Silvano Serra, 815;de Lourdes
Srtvs Quadra 701 Bloco O Nº110 Sala 822;Asa Sul
Rua Funchal, 551 - 2º Andar - Cj. 22;Vila Olímpia
Rua Moacyr Saudino, N°271;Alfredo Chaves
Ladeira De Nossa Senhora, 163 - 2 Andar;Glória
Av Brasil, N°: 1739;Jardim Brasil
Rua Josão Pessoa, 19 - Km 25;Simões Filho
Av. Getúlio Vargas, Nº694, 1º Andar;Centro Norte
St Srtvn Qd. 701 Conj. C Nº 124 Sala 301 B;Asa Norte
Rua Cassiano Castelo, 151. Ed. Brunório Serafini, Sala 402;Centro
Rua Horto Florestal, 197;Boa Vista
